5.76, 51881, 1
5.64, 51833, 1
5.64, 51786, 1
5.64, 51739, 1
5.64, 51702, 1
5.4, 51672, 1
4.86, 51636, 1
4.68, 51571, 1
4.92, 51528, 1
4.5, 51505, 1
3.84, 51460, 1
3.6, 51428, 1
3.78, 51409, 1
3.06, 51346, 1
3.42, 51281, 1
3.54, 51215, 1
3.36, 51160, 1
3.54, 51115, 1
3.36, 51077, 1
3.36, 51044, 1
3.24, 51017, 1
3.36, 50990, 1
3.12, 50968, 1
3.24, 50948, 1
3.24, 50927, 1
3.24, 50907, 1
3.24, 50886, 1
3.24, 50866, 1
3.24, 50846, 1
3.12, 50826, 1
3.42, 50807, 1
3.24, 50791, 1
3.42, 50777, 1
3.54, 50765, 1
2.7, 50740, 1
3.18, 50709, 1
3.18, 50687, 1
3.18, 50675, 1
2.58, 50648, 1
3, 50605, 1
2.88, 50558, 1
3.18, 50512, 1
3, 50469, 1
3, 50427, 1
3, 50386, 1
3, 50345, 1
3, 50304, 1
3, 50264, 1
3, 50224, 1
2.88, 50184, 1
3.12, 50144, 1
2.88, 50105, 1
3, 50066, 1
3, 50027, 1
3.18, 49989, 1
3.12, 49958, 1
3.06, 49935, 1
3.18, 49918, 1
2.4, 49887, 1
3.06, 49843, 1
3.06, 49801, 1
3.18, 49765, 1
3.18, 49742, 1
3, 49725, 1
3.3, 49709, 1
3.6, 49658, 1
3.96, 49598, 1
3.84, 49537, 1
3.84, 49474, 1
3.84, 49413, 1
3.96, 49354, 1
3.84, 49294, 1
3.84, 49238, 1
3.84, 49185, 1
3.72, 49132, 1
3.72, 49079, 1
3.78, 49034, 1
3.48, 49012, 1
3.24, 49006, 1
2.82, 48967, 1
3.06, 48926, 1
3.3, 48891, 1
3.18, 48868, 1
3.18, 48851, 1
3.24, 48842, 1
2.82, 48838, 1
2.7, 48814, 1
3.06, 48781, 1
3.24, 48753, 1
3.12, 48736, 1
3.18, 48726, 1
3.42, 48710, 1
3.84, 48656, 1
4.08, 48601, 1
3.96, 48546, 1
3.96, 48491, 1
3.96, 48436, 1
3.96, 48383, 1
4.08, 48330, 1
3.72, 48286, 1
3.48, 48273, 1
3.24, 48271, 1
3.36, 48263, 1
3.48, 48243, 1
3.36, 48230, 1
3.42, 48221, 1
3.36, 48219, 1
2.7, 48204, 1
3.06, 48180, 1
3.18, 48162, 1
3.18, 48153, 1
3.3, 48144, 1
3.84, 48105, 1
3.9, 48077, 1
3.6, 48059, 1
3.6, 48047, 1
3.6, 48040, 1
3.36, 48037, 1
3.06, 48034, 1
2.76, 48013, 1
3.24, 47992, 1
3.18, 47979, 1
3.12, 47975, 1
3.66, 47949, 1
3.78, 47916, 1
3.84, 47895, 1
3.6, 47880, 1
3.6, 47871, 1
3.48, 47867, 1
2.88, 47860, 1
3, 47838, 1
3.18, 47819, 1
3.18, 47807, 1
3.18, 47804, 1
3.72, 47776, 1
3.78, 47746, 1
3.72, 47726, 1
3.72, 47714, 1
3.6, 47706, 1
3.36, 47702, 1
3.48, 47702, 1
3.84, 47676, 1
4.08, 47638, 1
3.96, 47605, 1
3.96, 47576, 1
3.84, 47551, 1
3.96, 47527, 1
3.72, 47506, 1
